file_id,url,reason,file_size_kb
12,https://www.nar.realtor/education,Hub/directory page,520
14,https://www.cbsnews.com/news/raskin-bill-require-white-house-renovation-plans-review/,Category: News Category,608
15,https://www.hel.news/category/remodel/,Category: News Category,115
28,https://www.sephora.com/happening/services,Hub/directory page,513
29,https://www.ibm.com/think/topics/cloud-computing,Category: News Category,258
31,https://openmetal.io/resources/blog/what-is-cloud-computing/,Large file (1929KB),1929
32,https://cloud.google.com/learn/what-is-cloud-computing,Large file (1760KB),1760
36,https://www.nerdwallet.com/travel/learn/best-travel-insurance,Large file (1096KB),1096
37,https://www.forbes.com/advisor/travel-insurance/best-medical-insurance-for-visitors-to-usa/,Large file (1044KB),1044
51,https://finance.yahoo.com/news/10-best-used-rental-cars-144157178.html,Category: News Category,93
55,https://www.verizon.com/deals/smartphones/,Category: Shopping/Store,204
58,https://www.att.com/deals/cell-phone-deals/,Large file (1145KB),1145
59,https://www.samsung.com/us/shop/cell-phone-offers/,Category: Shopping/Store,408
94,https://bonmatch.com/blogs/news/2026-photography-trends-key-shifts-from-2025,Category: News Category,224
100,https://trovatrip.com/blog/buying-flights-101,Category: Shopping/Store,76
105,https://www.techgearlab.com/topics/kitchen/best-kitchen-appliances,Category: News Category,490
107,https://www.walmart.com/cp/headphones/1095191,Large file (1484KB),1484
109,https://www.skullcandy.com/collections/headphones,Large file (1719KB),1719
115,https://www.outdoorgearlab.com/topics/fitness/best-exercise-equipment,Category: News Category,249
117,https://barbend.com/best-home-gyms/,Large file (1008KB),1008
119,https://www.menshealth.com/fitness/a62777906/fitness-awards-2025/,Large file (3373KB),3373
127,https://www.usf.edu/education/about-us/news/2020/tips-success-online-classes.aspx,Category: News Category,43
173,https://www.uti.edu/blog/electrical/careers-in-electrical-field,Large file (1001KB),1001
195,https://fortunaadmissions.com/best-mba-programs-in-the-us/,Large file (1856KB),1856
198,https://www.graduateschool.edu/topics/graphic-design-classes,Category: News Category,368
206,https://www.sallytomatoes.com/post/comparing-different-types-of-catering-services,Large file (1593KB),1593
211,https://www.homesandgardens.com/interior-design/the-principles-of-interior-design,Large file (1368KB),1368
218,https://5starnutrition.com/collections/deals,Category: Shopping/Store,498
223,https://www.cnbc.com/select/best-tax-software/,Large file (1111KB),1111
228,https://www.wired.com/story/best-cheap-phones/,Large file (2548KB),2548
234,https://titan.fitness/collections/sale,Category: Shopping/Store,593
235,https://shop.lifefitness.com/collections/outlet,Category: Shopping/Store,372
236,https://www.truemed.com/shop/fitness-equipment,Category: Shopping/Store,229
237,https://www.mindful.org/how-to-meditate/,Large file (1244KB),1244
254,https://accme.org/news/accme-launches-new-certificate-programs/,Category: News Category,137
260,https://www.americanfenceassociation.com/news/new_law_is_a_win_for_education_certification_programs/,Category: News Category,23
267,https://www.wrike.com/project-management-guide/faq/what-are-project-management-tools/,Large file (1326KB),1326
275,https://www.kayak.com/flights,Large file (1566KB),1566
277,https://www.cnet.com/tech/services-and-software/best-streaming-service/,Large file (1441KB),1441
279,https://www.kiplinger.com/personal-finance/how-to-save-money/family-savings/601268/a-guide-to-streaming-services,Large file (1221KB),1221
281,https://www.digitalcameraworld.com/buying-guides/the-best-cameras-for-professionals,Large file (1293KB),1293
282,https://pro.sony/ue_US/products/professional-cameras,Category: Shopping/Store,424
285,https://www.avis.com/en/home,Large file (1897KB),1897
294,https://www.yahoo.com/news/articles/7-side-nj-moving-company-144803379.html,Category: News Category,93
296,https://www.houzz.com/professionals/home-remodeling/salt-lake-city-ut-us-probr0-bo~t_34257~r_5780993,Large file (2395KB),2395
301,https://electricalalliance.org/news/,Category: News Category,564
302,https://ieci.org/news/,Category: News Category,159
303,https://www.royalelect.com/news/,Category: News Category,83
310,https://www.mensjournal.com/health-fitness/fitness-trends,Large file (1073KB),1073
317,https://www.codecademy.com/catalog/subject/artificial-intelligence,Large file (1329KB),1329
322,https://wanderlog.com/list/geoCategory/75069/where-to-eat-best-restaurants-in-oklahoma-city,Large file (1816KB),1816
324,https://www.cisa.gov/topics/cybersecurity-best-practices,Category: News Category,68
341,https://www.kolabtree.com/find-an-expert/subject/cybersecurity,Category: Directory/Listings,606
342,https://www.fiverr.com/hire/cybersecurity,Large file (1904KB),1904
363,https://www.searshomeservices.com/locations/fl/orlando/sears-appliance-repair/8001-s-orange-blossom-trail,Category: Directory/Listings,406
366,https://ignitevisibility.com/digital-marketing-news/,Large file (998KB),998
367,https://www.searchenginejournal.com/category/news/,Category: News Category,350
401,https://www.eventplanner.net/news/10986_20-event-planner-influencers-to-follow-on-instagram-in-2025.html,Category: News Category,244
410,https://www.opm.gov/news/news-releases/one-hr-system-for-the-entire-federal-government-opm-and-omb-announce-major-reform/,Category: News Category,58
420,https://nypost.com/shopping/best-nyc-moving-companies/,Category: Shopping/Store,448
457,https://www.sciencedaily.com/news/health_medicine/diet_and_weight_loss/,Category: News Category,99
458,https://www.webmd.com/obesity/news/default.htm,Category: News Category,307
459,https://www.who.int/news/item/01-12-2025-who-issues-global-guideline-on-the-use-of-glp-1-medicines-in-treating-obesity,Category: News Category,101
461,https://www.plasticsurgery.org/news/articles/2025s-weight-loss-revolution-new-medications-are-changing-the-scale,Category: News Category,90
468,https://www.pmmag.com/topics/2650-plumbing-news,Category: News Category,84
469,https://wholesalesupply.us/news/,Category: News Category,569
470,https://www.supplyht.com/topics/2649-plumbing,Category: News Category,154
472,https://www.worldplumbing.org/media/,Category: News Category,330
475,https://www.hulu.com/welcome,Large file (1576KB),1576
479,https://shopnicekicks.com/pages/calendar,Category: Shopping/Store,273
481,https://www.footlocker.com/category/new-arrivals.html,Category: News Category,23
482,https://fleet.co/en/blog/laptop-for-graphic-designer,Large file (8440KB),8440
484,https://www.laptopmag.com/best-picks/best-laptops-for-graphic-designers,Large file (1260KB),1260
485,https://www.gq.com/story/best-sneaker-brands,Large file (2440KB),2440
486,https://www.bostonbrandmedia.com/news/13-best-shoe-brands-in-the-world,Category: News Category,84
490,https://www.dell.com/en-us/shop/deals/pc-laptop-deals,Large file (1372KB),1372
502,https://www.aarp.org/travel/travel-tips/safety/travel-insurance-tips/,Large file (1099KB),1099
534,https://dealstream.com/tutoring-businesses-for-sale,Category: Shopping/Store,151
537,https://topfranchise.com/catalog/tutoring-franchises/,Category: Shopping/Store,335
539,https://www.businessbroker.net/keyword/tutoring-businesses-for-sale.aspx,Category: Directory/Listings,539
546,https://bestlifetimedeals.com/shop/deals/social-media/,Category: Shopping/Store,250
551,https://www.crn.com/news/security/2025/10-big-cybersecurity-acquisition-deals-in-2025,Category: News Category,26
553,https://www.infosecurity-magazine.com/news/cyber-deals-november-2025/,Category: News Category,103
557,https://www.msspalert.com/news/recent-acquisitions-illustrate-consolidation-trends-in-cybersecurity,Category: News Category,128
561,https://www.martymusic.com/store,Category: Shopping/Store,218
564,https://www.heart.org/en/news/2025/09/09/yoga-isnt-just-for-flexibility-it-may-also-protect-brain-health,Category: News Category,181
565,https://yogauonline.com/category/yoga-practice-teaching-tips/yoga-news/,Category: News Category,146
