priority,file_id,url,length_ratio,gt_chars,extracted_chars,recall,precision
critical,1665,https://www.homelight.com/blog/hiring-a-realtor-to-sell-your-home/,141.8,1267,179666,0.792,0.09
critical,0225,https://turbotax.intuit.com/personal-taxes/online/live/full-service/,54.4,1077,58555,0.843,0.055
critical,1926,https://devoxsoftware.com/custom-software-development-in-san-francisco/,53.5,1166,62437,0.774,0.079
critical,1950,https://www.veritis.com/blog/top-15-aws-machine-learning-tools-in-the-cloud/,45.1,1203,54217,0.974,0.058
critical,0349,https://graymatterlifting.com/garage-gym-reviews/machine-reviews/,39.9,796,31759,0.98,0.166
critical,2823,https://www.jfpossibilities.com/tech_notes/linux/survival-guide-sysv-init,36.5,1836,67088,0.946,0.137
critical,2269,https://clay.global/blog/web-design-guide,36.4,1397,50835,0.915,0.065
critical,0381,https://mailchimp.com/marketing-glossary/digital-marketing/,35.6,784,27905,0.872,0.058
critical,1508,https://rtslabs.com/top-machine-learning-consulting-companies,34.6,739,25583,0.808,0.055
critical,1541,https://www.thelegacyghostwriters.com/blog/100-best-book-publishing-companies-in-the-usa/,34.5,1301,44947,0.75,0.062
critical,2643,https://www.welivesecurity.com/en/eset-research/longnosedgoblin-tries-sniff-out-governmental-affairs-southeast-asia-japan,34.2,997,34089,0.859,0.055
critical,0689,https://machinelearningmastery.com/start-here/,33.4,981,32799,0.755,0.076
critical,1714,https://www.smartico.ai/blog-post/igaming-software-providers-2025,33.2,2997,99526,0.974,0.067
critical,0745,https://www.lemonlight.com/video-production/,32.5,1233,40046,0.754,0.056
critical,0779,https://boostsuite.com/best-online-legal-services/,32.4,1530,49541,0.917,0.076
critical,0715,https://www.plumbingzone.com/threads/should-you-invest-in-a-sewer-camera.86530/,31.0,823,25508,0.755,0.104
critical,2539,https://www.ietf.org/rfc/rfc3028.txt,30.2,2419,73079,1.0,0.083
critical,2628,https://zipcpu.com/blog/2025/12/17/devclk.html,30.1,1800,54157,0.957,0.09
critical,1418,https://riverside.com/blog/streaming-platforms,28.4,1162,33055,0.866,0.065
critical,2590,https://blog.veritates.love/selective_applicatives_theoretical_basis.html,26.7,1479,39551,0.799,0.076
critical,0321,https://www.camelsandchocolate.com/restaurants-in-oklahoma-city/,26.5,1112,29519,0.919,0.064
critical,1722,https://www.agicent.com/blog/best-app-review-websites/,26.4,672,17740,0.8,0.061
critical,1236,https://www.kqed.org/checkplease/restaurants-a-z,26.0,859,22353,0.743,0.056
critical,0138,https://www.bloomreach.com/en/blog/machine-learning-to-personalize-shopping-experience,25.7,637,16377,0.846,0.065
critical,2020,https://mhealth.jmir.org/2019/6/e14273,25.1,3042,76209,0.965,0.08
critical,0942,https://www.delta.com/us/en/delta-vacations/offers-deals,25.0,1498,37392,0.802,0.131
critical,1607,https://mindesigns.com.au/blog/comparison-of-social-media-platforms/,24.9,734,18277,0.975,0.08
critical,1655,https://soteriahr.com/hr-outsourcing-companies/,24.7,1834,45331,0.837,0.07
critical,2492,https://ashvardanian.com/posts/search-utf8,24.5,1477,36208,0.934,0.067
critical,1085,https://tampaymca.org/programs/health-fitness/personal-group-training,24.1,2559,61567,0.861,0.075
critical,2207,https://www.loona-construction.com/blog/how-much-does-a-home-remodel-cost-in-california,24.1,2314,55791,0.976,0.206
critical,1802,https://www.paycom.com/resources/blog/pto-policies-best-practices/,23.6,1222,28872,0.784,0.075
critical,0436,https://docs.cloud.google.com/docs/get-started/aws-azure-gcp-service-comparison,23.5,2074,48647,0.806,0.072
critical,0263,https://www.proofhub.com/articles/project-management-app-comparison,22.9,1560,35656,0.723,0.074
critical,1831,https://www.thesoftwarereport.com/the-top-25-data-management-and-analytics-companies-of-2025/,22.9,1541,35224,0.993,0.092
critical,0425,https://www.movebuddha.com/movers/ny/,22.8,1816,41443,0.971,0.084
critical,1708,https://www.contemporaryartissue.com/top-25-fine-art-photography-artists-in-the-world/,22.6,3030,68355,0.986,0.084
critical,1768,https://www.uwkc.org/need-help/tax-help/,22.1,1142,25196,0.836,0.088
critical,1163,https://devsquad.com/blog/software-development-agencies,21.7,2287,49713,0.927,0.117
critical,2746,https://www.utopiasbach.org/llyfrgelllibrary,21.4,944,20198,0.809,0.06
critical,2099,https://www.todaymade.com/blog/web-design-trends,21.1,1250,26340,0.976,0.075
critical,2218,https://www.learningrevolution.net/best-online-course-platforms/,20.7,2892,59780,0.795,0.077
critical,1388,https://www.f22labs.com/blogs/50-low-cost-mobile-app-development-ideas/,20.3,1968,39979,0.888,0.124
critical,1530,https://www.realtymogul.com/knowledge-center/article/real-estate-investing-beginners-real-estate-101,20.3,694,14099,0.743,0.079
critical,2076,https://www.ncbi.nlm.nih.gov/books/NBK221839/,20.2,3889,78393,0.972,0.092
critical,1832,https://em360tech.com/top-10/real-time-data-analytics-platforms,20.1,1631,32798,0.892,0.089
high,0266,https://tech.co/project-management-software/best-project-management-software,19.7,1985,39135,0.943,0.107
high,1218,https://spacelift.io/blog/software-development-tools,19.7,2745,54011,0.959,0.118
high,2498,https://www.artmann.co/articles/30-years-of-br-tags,19.4,3306,63980,0.991,0.104
high,0667,https://www.mysubscriptionaddiction.com/best-clothing-subscription-boxes,19.2,1242,23889,0.865,0.092
high,1628,https://entrepreneurshq.com/consultant-certification/,19.2,1783,34286,0.795,0.076
high,1316,https://www.classcentral.com/report/free-certificates/,19.1,1753,33475,0.961,0.102
high,2319,https://reallygooddesigns.com/graphic-design-courses-beginners-2025/,19.1,1664,31768,0.861,0.096
high,2137,https://homestudiobasics.com/the-best-studio-headphones-for-mixing/,18.9,3531,66713,0.955,0.107
high,1190,https://bootcamp.cpe.vt.edu/programs/ai-machine-learning,18.8,801,15024,0.727,0.069
high,1657,https://www.seniorliving.org/insurance/travel/best/,18.8,1925,36204,0.988,0.134
high,1538,https://www.barnettghostwriting.com/blog/top-25-book-publishing-companies-in-usa/,18.4,660,12134,0.829,0.078
high,1222,https://www.orientsoftware.com/blog/software-development-frameworks/,18.1,1605,29086,0.762,0.094
high,2386,https://www.aisi.gov.uk/frontier-ai-trends-report,17.6,3655,64221,0.983,0.115
high,1380,https://electricians.promatcher.com/cost/marietta-ga-electricians-costs-prices.aspx,17.4,891,15472,0.783,0.177
high,2169,https://iot-analytics.com/leading-generative-ai-companies/,17.3,1747,30171,0.88,0.099
